element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
H,-0.4862888,-0.28519487,-0.009094415,-0.05151911,0.042997867,2.028198,-0.4196,-0.40016705,-0.23272668,0.54554236,0.82119715,0.46510413,-0.18676552,0.54572,-0.31071424,-0.51633674,0.16329072,-0.00970988,0.38676322,0.22385457,-0.30139184,0.043426257,-0.3608883,-0.035536602,0.06388008,0.24093379,-0.32307497,-0.08804135,-0.11180782,0.34386808,-0.35365266,0.05643163,0.29705024,0.5413095,-0.09587093,0.41287345,-0.186612,0.10916294,-0.08563105,0.23481792,-0.19096355,0.089038946,0.0717678,0.236224,0.10990193,-0.38606632,0.27056658,-0.3791739,-0.017796844,-0.24078137,0.2652255,-0.16798931,-0.51356924,-0.40066975,-0.2612389,0.16477662,0.44813794,-0.15134218,0.10603574,0.067146435,0.28268996,-0.1688458,-0.050264634,0.073510885,-0.10919565,-0.17518693,-0.32003668,-0.11038046,-0.0025419258,-0.11901173,0.06717523,0.13863182,-0.10214331,0.046680626,0.27513117,-0.2160371,-0.22362879,-0.009827092,0.071189255,-0.31079775,-0.02241474,-0.0658259,-0.18040866,0.015090821,0.034773327,0.0879752,0.008078128,0.048175517,-0.019438013,0.1613285,0.17432287,-0.020368716,-0.027010564,0.0783522,0.21091849,0.006356963,-0.056114156,-0.14443062,-0.02526462,-0.040331457
He,-0.54253817,-0.5355159,-1.4643162,-0.06517059,0.8489285,0.70577276,0.022851761,-0.6094341,-0.015852675,1.3531144,-0.206574,0.35539627,-0.11881952,-0.3943107,-0.21092016,-0.12393556,0.17842785,0.1560978,0.36861596,-0.370786,-0.37407812,-0.5591574,-0.18890497,0.10695266,-0.24897836,-0.71081924,0.38983694,0.08472195,-0.015590131,0.013591044,-0.22756258,0.14029016,-0.096145004,0.19978695,0.022392131,0.4067927,0.114786275,0.19383794,0.1806182,0.10747874,0.08665264,0.047331836,-0.16495946,-0.15265921,0.38381028,-0.10426676,0.024000786,-0.12376453,-0.08516497,-0.21021038,0.1338082,0.004402388,0.41642103,-0.013319559,0.18500581,0.121697694,0.096992604,-0.17306076,0.06273537,-0.24624525,-0.28353482,0.14039513,-0.14995211,-0.08104971,-0.038006112,-0.025700014,0.13527155,0.024829665,0.08340041,0.3402966,0.1627967,0.12797843,-0.31632477,0.53738475,-0.2103844,-0.2831156,-0.025015637,0.09719192,-0.11567126,0.045629665,0.029785894,0.051706012,-0.1404455,-0.1300619,-0.19672164,-0.055362884,-0.07499415,-0.2102969,0.110883065,-0.07997958,-0.19110724,-0.055424884,0.0818942,-0.06500565,-0.15542011,0.12269848,-0.18167393,-0.014898308,-0.09459833,0.0618586
Li,-0.2381912,1.0412644,0.47686562,-0.746849,1.1764034,0.16343348,0.11039461,-0.11596067,-0.37987867,0.19644171,-0.36611688,0.364403,0.30437204,-0.7266381,0.04607953,-0.36687836,-0.08950709,0.23105441,0.29277462,0.41028833,0.6462257,-0.04497777,-0.5347156,-0.09727962,-0.18136048,0.15896034,0.34705174,0.1731063,-0.22605793,0.22674158,-0.025615724,0.17460212,-0.34977624,0.28105906,0.07029036,-0.14811051,-0.019833222,-0.04096659,-0.3031016,0.37847564,-0.27240384,-0.03820411,-0.28376183,-0.31748748,-0.09564406,0.031163549,-0.042606622,0.25708792,-0.3848483,0.15067276,0.08937054,0.0540649,-0.058150467,-0.37980533,-0.16323933,-0.15734889,0.15616494,-0.053147104,-0.20605169,-0.012448676,-0.36471355,-0.30414867,0.016213253,0.012478118,-0.25582266,0.39649576,0.19034052,0.004783869,-0.21539459,-0.11706628,0.1714919,-0.25170404,0.44000825,0.29003787,0.036791287,0.013031173,-0.022421356,-0.24063954,-0.007719338,-0.17246528,0.06301563,0.020590723,0.11951138,-0.03695347,0.07915832,0.22750136,0.08169435,0.10456603,0.17347844,-0.20958313,-0.003273596,0.11534924,0.015589444,-0.031393036,-0.019130103,0.0759428,0.04850955,0.08573422,-0.029332625,-0.05107367
Be,-0.36018685,0.30413377,-0.019093174,0.04693424,-0.7101334,-0.27381766,-0.34507686,0.518999,0.53368664,0.31944805,-0.22582379,-0.35988486,0.20866176,-0.056604214,0.62615705,-0.47605842,0.11543509,0.20458049,0.087757975,-0.10639842,0.0021783663,-0.6382832,-0.16547962,0.0005400665,-0.25554362,0.17095733,-0.29038808,0.44663697,-0.01560184,0.2004335,0.17894682,0.15163873,-0.3994256,0.18478733,-0.20174815,-0.20296967,0.0035591573,-0.116380796,-0.28600386,-0.21231082,-0.15263525,-0.05894135,0.15612029,-0.29689822,-0.06459416,0.43270442,0.18339449,0.04570384,0.28100228,-0.108449325,0.28644383,-0.15914191,0.2806482,0.15783858,-0.20806411,-0.2176539,0.05050017,-0.064081244,0.02291434,0.27250192,0.0057989955,0.07673626,-0.19037722,0.26044732,-0.17435835,-0.0150072975,0.18392593,-0.05944667,0.5283747,-0.16896981,0.096530065,0.043683022,0.049460504,0.16847038,0.07707639,0.003975751,0.11633955,0.2065856,-0.20113933,0.15049988,-0.1787009,-0.26091745,-0.0026794448,0.22186913,-0.35384375,0.23077631,0.24248329,0.059986718,-0.04999599,0.18162125,-0.032966852,0.042024523,-0.21178855,0.13717644,0.054085176,-0.010585949,-0.067122765,-0.04977877,-0.12479485,-0.12443775
B,-0.71622765,-0.07141289,-0.0450479,-0.14817849,-0.13020949,0.5321909,-0.39570752,-0.9444295,0.39627188,-0.8102937,-0.12031782,-0.08180428,-0.29563242,-0.4406968,0.10469136,-0.058634646,0.7463093,0.18189609,-0.34350663,0.30926958,-0.63735163,0.27445725,-0.17710763,-0.026974617,-0.34615493,0.08085321,-0.15170795,0.42225054,-0.32588595,-0.16220438,-0.03475166,-0.028750435,-0.053678103,-0.15442365,0.6527769,-0.23369102,0.06634531,0.16631803,-0.310041,0.11863079,-0.14920922,-0.25580356,0.13649887,0.07615972,0.5840124,-0.051223487,-0.2195993,0.022851428,0.0095532015,0.04688794,0.07751076,-0.25061712,0.26953202,-0.051478513,0.08064656,0.02436341,0.14211962,-0.014849408,0.010810232,0.022883581,0.21663406,0.11337018,-0.052892663,-0.17897967,0.046236083,0.106801875,0.19385362,0.062069595,-0.11354536,0.20786749,-0.066962466,0.004878504,0.24880701,-0.3242084,-0.12332934,0.11895637,-0.33032063,0.30395472,0.003986165,-0.11546427,0.051574662,0.11777313,0.09066038,-0.041873842,0.017639756,0.058427993,-0.024554312,-0.26344803,-0.16746718,0.047590666,-0.22576073,-0.18453842,-0.016592022,0.010837194,0.0015942957,-0.054286465,-0.15135743,-0.124000974,-0.22306006,-0.05539245
C,-0.05126083,1.1260763,1.6389542,-0.5978811,0.82205045,2.0650535,-0.42800796,0.9755545,1.4049034,-0.026296474,0.75961125,0.76752067,-0.18752319,0.4105626,-0.7411424,-0.2527149,0.12587412,-0.141384,-0.08146402,0.033266596,-0.10276708,0.9069965,-0.02275689,-0.25603145,0.22820993,0.06054936,0.29743344,-0.10574344,-0.36172718,-0.4143222,0.36136824,-0.3234439,-0.16670287,0.20365404,-0.1065314,0.08459578,0.19582094,0.29366148,-0.19185856,-0.15168107,-0.20576335,0.06012784,0.2373148,-0.3134226,0.10870092,0.076917194,-0.2046312,0.0059087723,0.010051842,-0.06610708,0.22987501,-0.00010380149,-0.019202672,0.21551965,0.29482096,-0.0004425794,-0.09434894,0.060882915,0.052622236,0.16189969,-0.06491445,-0.12119983,-0.4046235,0.061239704,0.33618867,-0.22867735,0.05687162,-0.15704131,-0.09309559,-0.14493278,0.08585022,-0.2783206,0.08479046,0.21732941,-0.25417244,0.15427564,0.09653525,0.15361689,0.08123101,0.21356443,-0.057129737,-0.28289896,0.06456017,-0.05176066,0.08108868,0.109747745,-0.04899474,-0.09840086,-0.055142708,-0.057422835,0.07136585,-0.023691902,-0.022048103,0.08876366,-0.010193128,0.037493743,-0.016879968,0.08332047,0.118920624,0.054574385
N,-0.32124788,0.64161444,-1.1770335,-0.92572737,0.4276155,0.9271362,-0.9338081,-0.4719962,0.2388778,0.20479894,0.11192971,-0.19960955,0.28833959,0.1173324,0.04066056,0.14293186,-0.3104503,0.14684068,0.31331322,-0.03821986,-0.29928523,-0.031962633,0.28915325,0.49748552,-0.03715218,-0.33510113,0.15173051,-0.09870727,0.15900555,0.09875126,-0.23740768,0.23779134,0.6686045,0.01660452,-0.0053857043,0.1305555,0.039893374,0.3181073,-0.27151063,0.6224649,-0.18082598,-0.36810094,0.077032104,0.18627876,-0.31101888,0.17997238,0.2040441,-0.019489812,0.48252404,0.124304846,-0.051842876,0.112427525,0.059494715,-0.10458139,-0.02735972,0.09428276,-0.24290794,0.16857697,0.012790799,0.20838813,-0.13312544,0.27035472,-0.10184893,0.094923764,0.20225178,0.21353126,-0.07840575,0.08180098,-0.0451224,-0.18806721,0.052204564,0.16046777,0.07803767,-0.07511401,-0.25058243,-0.049390618,0.1510193,0.05541575,-0.13030504,-0.0022602668,-0.15495239,0.21384329,0.098327935,-0.2502241,-0.12870672,0.029321354,0.28656548,-0.033218574,-0.19146903,-0.27149186,0.13944897,0.12056848,-0.099629134,0.015914854,-0.06630637,-0.10626369,0.13978289,0.034836568,0.03398289,-0.0077724885
O,-0.8345668,0.04786523,-0.66872954,-0.46101943,0.27497387,1.6881205,-0.4506964,-0.1411832,0.42933363,0.1584593,0.30636922,0.34151566,0.062099397,0.040465016,-0.01203949,0.12269087,0.23273104,-0.3245956,0.15369092,-0.1257333,0.20268029,-0.09878712,-0.07211616,-0.101663455,-0.41152194,0.05693354,0.106116675,-0.05780128,0.11555758,-0.076413676,0.098948166,-0.004704738,0.38594425,0.23132887,0.099980734,-0.13492608,0.21544781,-0.40881628,-0.20417348,-0.526238,-0.100008376,-0.090116955,-0.5266638,-0.14346062,-0.35979462,0.1212717,0.030618906,-0.20741278,0.40863222,0.13176084,-0.19131824,-0.24859147,0.34016678,0.2462209,0.05684263,-0.18745378,-0.06902843,0.30704087,-0.13334987,0.02672008,0.009937614,-0.08511275,0.36513728,0.041269414,0.09130506,-0.003160011,0.25512707,0.058335833,-0.057825133,-0.22307748,-0.20646314,0.05741746,-0.20052564,-0.11643776,-0.044501398,-0.13857605,-0.107301034,-0.21463199,-0.15600908,-0.15721096,0.22574894,0.31532073,0.017310645,0.22138564,0.02760378,0.25555637,-0.10772972,0.20813775,-0.03244092,0.07173606,-0.13604736,-0.09442462,0.041990697,0.23740384,0.018731851,-0.0963941,-0.04744488,-0.07101609,0.0648913,0.054076336
F,0.8112711,1.4778228,-0.8652456,-0.24102251,-0.8406187,0.3779426,0.15578972,-1.1108682,-0.025140509,0.77424204,0.16779381,-0.2605286,0.05264943,0.26870224,0.28512037,0.775865,0.26597875,0.74095213,0.20990369,0.6794852,0.045446105,0.046862595,0.23414825,-0.27858433,-0.017747886,-0.044894397,-0.69381547,0.2409795,-0.23763686,-0.23280624,-0.19005826,-0.17788671,0.30868685,0.09943218,-0.02699083,-0.0333822,-0.007891435,-0.015083939,0.07629072,-0.31820095,-0.08711427,0.5909883,-0.19500107,0.44115698,0.37884068,0.13298172,0.13602585,0.11367296,-0.19397351,-0.116758764,-0.17339933,0.17186274,-0.19288927,0.025573727,0.13746095,-0.21487418,-0.18503259,0.08465341,-0.05249566,-0.31821102,-0.31151834,-0.27898437,-0.070038356,-0.0071689617,0.007954121,0.0471043,0.35616434,-0.13352719,-0.08365299,0.19930749,0.14413361,-0.09604111,0.054998986,-0.27067226,-0.05617533,0.11212072,0.12717947,-0.036755465,-0.13578933,0.08957569,0.060133424,-0.0009159371,0.005294682,-0.0057907216,-0.012271158,0.094445646,0.15602957,-0.04106718,-0.13078122,0.11193337,0.33664978,0.090532035,0.10453229,0.080584474,0.025910517,0.25096878,-0.07916405,0.085211225,0.0856172,0.009833204
Ne,-0.33208796,0.39679185,-0.23847789,-0.5099377,0.40506294,0.49274993,0.49702954,0.005681009,-0.21525651,1.555959,0.28653735,0.19050673,0.563095,-0.57043326,-0.18134865,0.42793125,0.15700153,0.13709915,-0.15326527,-0.20918775,0.117683426,-0.53428435,0.3117242,-0.15295324,-0.61893666,-0.12144094,-0.3845625,-0.18220587,0.40793297,-0.24558493,-0.040481832,-0.3663987,-0.06561897,-0.29931915,-0.2743541,0.038199853,-0.007789932,-0.048364893,-0.14545631,-0.010859619,0.31352988,-0.21017636,-0.20288236,0.2183605,0.006185755,-0.04868379,0.0035881847,-0.18565916,-0.1614458,-0.020823162,-0.29581994,-0.03785868,-0.3370246,0.27735338,0.039308798,0.068915725,0.0997933,0.28611666,0.47938877,0.028625786,-0.030164469,0.051130943,-0.13668866,-0.08962066,-0.06419201,0.03280354,-0.29775298,-0.21331054,0.0029167198,-0.17610091,0.22290362,-0.015366238,0.3980799,-0.32516664,-0.008227231,-0.20900303,0.13253199,-0.10530413,-0.0888052,0.05026502,-0.10422295,-0.071062356,0.186483,0.06615684,0.035032984,0.05884392,-0.25911513,-0.027649697,0.056356184,-0.0064507574,-0.14944452,-0.1550032,-0.12132901,-0.0022101803,-0.054840878,-0.0031312853,0.02404698,0.079692565,-0.01696255,0.03276126
