element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
H,1.6174912,0.5277723,-0.0114894975,-0.79724014,-0.32208762,0.78331643,-1.1321718,-0.637872,0.04333463,-0.7219965,-0.63939303,-0.43062237,-0.1505868,1.2571093,1.0098726,0.23700239,-1.6706263,1.0096056,0.2171003,-1.1394783,0.49456334,0.8025089,0.9720447,1.1809564,0.28016537,-0.5793472,0.50686467,-0.4923914,0.3266451,-1.2117666,-0.60329735,-0.26685542,0.76346546,-0.20088048,1.2581389,-0.44083154,-0.77213544,-0.49230433,0.7574374,0.018120429,0.32020146,1.5311848,-0.2871696,-0.27408943,-1.1528699,-0.7581315,0.15456724,-1.187363,-1.5953192,-1.959481,2.0148323,0.5870232,0.53548753,0.7605589,0.50170946,0.8645017,0.7849344,1.1924005,-0.7669781,1.0382192,0.052819073,-1.4544808,-0.036809336,-0.5436626,0.21859646,-1.6735907,-0.5677048,1.4747894,0.5036922,0.13373484,0.6311738,0.11655594,0.36468783,-0.41414607,1.7633647,1.0011477,-1.4621055,0.69105667,-1.3186588,-0.35830688,0.78607273,0.60477597,-0.7196701,0.9369754,-1.1817421,2.0986335,1.9832036,1.4125909,-0.20803228,2.0199292,1.2309675,0.46958873,-1.9674397,-1.5925603,-0.7830596,-0.42410374,-1.1655451,-0.049429074,0.5259684,-1.208094
He,-1.0297337,-0.514845,2.088332,0.39830294,1.4636227,-0.4155834,-2.0843906,-0.7133828,-0.072629645,-1.2966121,0.20213282,-1.5695156,0.75607455,2.9482486,-1.003248,0.7155891,-0.16395973,2.2465215,0.5698634,-2.3116102,-1.0846894,0.3361801,-1.2670459,0.2676051,0.98552775,0.42403784,-0.6046576,0.8424234,-0.7904538,3.3912544,-0.1458427,2.6377006,-0.20888223,1.2272698,0.28771016,1.331426,0.5962856,-1.3314594,-0.54295456,0.7698526,-1.2854024,-0.6193698,0.9687553,0.60448337,-0.09133866,0.49693885,-0.06401381,-0.9963714,-0.09741798,0.88537776,0.71924937,0.6162164,0.37891054,-1.0217886,0.5614144,-0.22465688,-0.17026557,-0.89434594,-0.22328965,-2.2418058,-0.20855567,-0.9944998,1.741442,0.83170795,-1.1100966,-0.44419575,0.2423586,-0.48268545,-0.60526633,-1.0208205,-0.42683858,0.33648854,0.37858948,0.16511676,0.51456535,0.07711993,0.7107575,0.86041296,-0.51469994,0.8154925,-1.302507,1.5024996,0.45644718,1.0781163,-1.1439761,1.8708535,-1.4597212,0.6949891,0.2998273,0.0846854,0.10072842,-0.27601263,0.5961849,0.022689363,-0.1907176,1.7136371,-0.5128469,0.7680241,-0.03369554,-0.84632325
Li,0.2131604,0.23946323,-0.8159699,0.112724595,0.74945503,0.5872941,-1.0844593,0.4846869,-0.2012874,0.75110096,-0.7290279,-2.1322722,2.0202308,-1.5179508,0.14294142,0.6808792,-0.09557743,-0.57575005,-0.27407786,-0.15842521,0.9501921,-1.1186227,0.81948346,0.46438763,0.03760114,-0.26819426,-0.98392326,-0.017166363,-0.15197393,-0.15088691,-1.9562905,0.99373895,-0.75403047,0.18979463,-1.4067576,-0.4297051,0.99785364,-0.34599957,1.3246237,-1.0007141,0.47458103,-1.7724441,1.2110167,-1.7186754,-0.5057501,0.55295676,-0.2566077,-0.10215201,-2.5636637,1.0729027,-0.23505497,-0.07629966,-0.87050617,0.8955979,-1.8475312,-1.701382,2.0242634,1.4021865,1.1461709,0.5238668,-0.6147075,-1.1796095,-0.9885889,-0.43288422,-1.8939092,0.67866826,-0.69924885,0.72275656,-1.6671199,1.1362286,0.07928566,-0.09706184,0.8868328,1.7141116,0.88754857,2.6986852,-1.0096188,0.3308736,1.1683177,0.29814222,-0.8606856,-0.35013604,1.3356822,-0.61840576,1.2183824,-1.3931116,-0.6371068,-0.53742534,0.84822017,-0.7948361,-1.0360944,0.1721823,-0.18920577,0.31617224,0.8862488,0.96490574,-1.0750691,-0.62571573,0.4427102,-1.2718605
Be,-0.6794463,0.9714766,2.4877844,-0.37661326,-3.2248204,2.9520817,-0.2827513,3.2811136,-0.38093847,1.536668,-1.879439,0.39266232,3.2621477,2.6779945,-0.7258455,1.033409,1.9442317,-2.3092034,0.814745,-0.35684803,1.4910979,-0.1557283,-1.7965883,-0.0826464,-1.0903519,1.049648,1.127227,0.080805585,1.123157,0.86080194,-1.6432301,0.08338719,1.5312885,-2.0067809,0.040462423,-0.42827246,0.09049762,1.5427135,0.24221507,1.2920587,0.3348801,1.4335823,-0.6568233,0.19673337,-0.13368824,-1.9958487,-1.8310761,1.0406253,0.10324963,-0.22892895,0.22722143,-0.17971112,0.18977962,0.41713938,-0.77196735,0.07210648,-0.5183686,0.14376672,-0.4850039,-0.7951341,-0.1922546,-0.46388298,-0.73263466,0.24569204,0.2438237,0.20221168,-0.52336633,-0.6161222,-0.4220446,-0.517049,-0.59220237,0.19935574,-0.16113894,0.17724255,0.09874479,-0.023268923,-0.6643347,0.17250471,0.21663298,-0.34825137,0.23525162,0.6602622,-0.27130464,0.28691244,-0.6572726,0.33713558,-0.16628487,-0.30777746,0.51389235,-0.33830857,-0.10118349,0.09321001,0.4490509,0.14251447,-0.292107,-0.0671767,0.64954466,0.21747574,-0.14207114,-0.12814428
B,0.54556644,0.5709699,0.8046595,-1.4031165,-0.2599917,1.1195844,-0.28692928,1.6070957,0.859078,-1.0365143,0.7407154,-0.55478114,1.0660392,-0.3103135,0.3170408,-0.19387285,-1.5818764,0.31848451,-0.5526184,1.7415702,-0.7213975,0.58005494,0.26209757,-0.24655971,0.63323444,-0.15272847,-0.8052446,0.42238066,-1.5656964,-0.021038005,0.40631744,0.1104719,-0.37827575,-0.39175475,-1.1423875,-1.087664,-1.74238,-0.26152596,0.68811184,0.9498266,1.5823822,-0.6031634,0.2884091,-0.59679794,0.7713113,0.25019324,-0.5542215,0.808862,1.1912255,1.4765688,1.2147185,0.4329494,0.6661462,0.029146727,1.3179705,-2.051649,-1.0415963,0.85122746,-0.91395414,-1.8059058,-0.9093324,-0.7563786,1.5660602,1.7709188,-1.1343758,1.6887848,1.8398328,2.00628,3.287302,-0.23796806,0.35998335,-0.24547523,-0.092847675,-2.3417816,0.38818973,2.029819,0.34197754,0.23288117,-0.05811502,-2.1313808,-0.24799496,0.017182853,0.4114685,-0.6068126,1.8187037,0.16804579,-0.6003152,-0.24820836,-1.1486185,-0.8204944,-0.065577604,1.7644392,0.9401154,-1.3794878,-0.058781736,-0.8233062,0.9708993,0.81157774,-0.44312814,0.5518919
C,1.9424006,-1.2087415,0.23541501,0.92464453,-1.0111803,0.44419062,-0.85440904,0.47113806,-0.13674241,-1.0759343,-1.2655355,-0.030875916,-1.0474919,0.31582615,-0.46070233,-0.4241727,-0.13818686,-0.34640378,-0.15210727,-0.6845303,-1.1036074,2.4386475,0.9846839,-0.106409185,0.22966667,-1.1646823,-0.026736245,-0.039560664,1.4752403,-1.3463554,1.2913733,0.60123074,0.11177588,-0.3520607,-0.34589225,0.8121085,0.03314308,0.30256116,-0.03754484,0.5320314,-0.3030676,-0.21850134,0.16679916,-0.82090944,1.2444566,0.20120448,-1.3307362,-0.9095052,-0.58139485,-0.26108062,0.48681644,-2.3619037,-0.52406937,0.2682008,1.4353734,0.7160207,0.7080119,0.7091631,-0.016692579,1.8084326,-0.9744497,0.37795764,1.1996212,2.215282,-0.93206,0.9365891,1.1381096,0.14904174,0.30900958,1.7237977,-1.345729,-0.13253322,-1.6262513,2.7747338,0.7961546,1.2717205,-1.0186366,-3.2971444,-0.2649381,-0.68587935,-1.7575276,0.6187497,-0.70750886,1.1088222,-1.9033467,-0.5065072,-1.5809245,-0.099772185,0.22630568,0.34886256,-0.48982963,-0.22309914,0.94751596,0.7076844,-1.2008731,-0.23280853,0.78307736,-0.103659,0.20102918,1.5335069
N,1.4887321,-0.9118898,0.1409096,-0.87886006,-0.07069416,0.39596173,1.516293,0.39989045,-0.87893087,-0.88369775,-0.964143,-0.69514984,-0.72338384,0.80299884,1.3125397,-1.0032169,-0.8536137,-1.9783301,-1.0337477,0.19617388,0.12501177,-1.5898833,-0.83161044,0.49789596,-0.35526377,1.6397187,-0.50809544,1.5315266,0.19681929,1.1857346,2.3275588,-0.47397885,0.23747304,0.53048295,-0.1142465,0.7077116,-1.4176672,-0.23137243,1.1597188,-0.16443336,-1.3661447,1.9620152,0.9625151,-2.6197062,1.0158457,0.20782763,0.92678213,-0.556168,-0.87881225,1.1543992,-0.009246627,0.0031291924,0.20913799,-1.1405647,0.14680673,-0.5522191,0.7326406,-0.3048254,1.0562557,-0.98739547,-0.66866434,1.524859,-2.1204371,-0.48718852,-0.335339,-1.4397852,0.10323092,0.9541747,-0.38834026,0.6144828,-2.1325738,-0.07770298,-0.63983727,-0.447565,0.17911398,-0.055391517,0.30229318,0.66462797,-2.504188,1.2710712,-1.0040892,-0.29301527,-0.15294251,0.101139456,-1.4980135,-0.49460682,-0.24259093,-0.2896094,-0.20680965,-2.3304596,-0.22341439,-0.64399636,-0.57524866,-1.1153339,0.099910885,-0.033016484,-0.59378946,0.15634713,-1.1925449,0.9755771
O,1.5046924,-1.5119007,0.0019522748,-0.6852706,0.77803475,0.04303685,0.6944498,0.09453596,-0.9621102,-1.0474277,-1.5141048,0.73242426,-0.47660142,0.69569206,0.7617737,-0.18665169,0.5492072,-1.8854673,-1.6440383,-0.012577621,-0.69371146,-0.4829583,0.73982835,1.0311755,-0.13800204,0.762784,-0.5417172,2.690725,-0.6209046,1.2794487,-0.383728,0.47793508,-0.9053129,-1.0213745,-0.14741237,0.07077757,0.46421155,-0.970718,-0.22792915,0.5034111,0.036215294,-0.3237853,0.9275895,0.044301506,-1.0448345,0.86581624,0.49477383,0.7422806,-0.28714266,0.7517803,0.15888602,-0.005007793,-0.46786898,0.40630805,-1.2276987,0.97284716,-1.1842655,0.31467727,-0.025041774,0.19620155,-0.5754307,0.0665077,1.6484611,-1.3930222,1.6635312,2.2133636,0.20277554,1.0328155,-1.1153053,0.73863477,0.1672796,1.0416998,2.3604436,1.8245531,-0.5428676,-1.0641624,0.79871553,1.2134606,1.028342,-0.47416094,1.5690843,0.62490857,0.20744537,-1.8064202,-0.19011123,0.5093357,-0.16743024,1.7481217,0.7166814,1.9703201,2.0481348,1.0204415,1.6978146,-0.51963276,-0.60005087,-1.0856707,1.7818537,-1.0888828,0.19919443,0.86698467
F,2.1497831,-1.0515263,0.394909,0.96910274,-0.8495274,1.0118487,-0.47571045,0.21144089,-0.6797404,-0.7604146,-1.6908876,0.13477576,-1.0057801,0.8185998,-0.18494372,-0.033299934,0.29197183,0.46881706,-0.38707703,0.03916931,-0.67932284,1.1750569,1.0535831,0.44068992,1.4031789,-1.5348095,-0.16874567,-0.125999,0.3121582,-0.87355304,0.4036268,-0.33862484,-0.7040341,0.4202729,0.41781393,-0.921036,-0.5982997,-0.028175833,-1.2088585,-1.4136028,0.2985143,1.1908326,-0.8519764,0.41901812,-0.31298572,0.7380742,-0.19397259,-1.8184019,-1.4758278,-1.6468027,-1.3764975,0.3306521,0.7015225,0.40170792,-0.72446495,-0.39617628,0.5357607,-2.0254354,-0.6649144,-1.5614052,0.8511943,1.4463305,-1.0152979,0.72521996,0.8524263,0.20263992,-0.9925524,-0.9933113,1.0067724,-0.105549484,-0.04649554,-1.6123765,0.54275787,0.040808465,-0.28930515,0.72584754,-1.5476358,4.0100493,-0.10814207,-1.70108,1.9500717,-0.27169383,-0.021047274,-1.0650855,1.1822424,0.103087574,-1.2072167,0.1753698,-0.4630666,-1.2066554,-0.79890674,-0.644001,2.4171472,0.39321536,0.695367,0.5300828,0.28486705,-1.4097387,-1.9713137,-1.4028596
Ne,-1.6841253,0.015517924,0.450433,1.1760969,-0.8586808,0.8571753,0.84577435,1.0907353,-0.196043,-1.3666137,-0.5979509,-1.244191,-1.8260119,1.0057056,-0.5441589,0.66898304,-0.30686137,1.5442328,-1.3401011,-0.3074013,1.2396938,-1.1641632,-0.38803765,2.0231407,0.7498991,0.20225385,0.91435784,-0.6153412,-0.87795883,-0.78351724,1.1350524,3.6108909,-0.2285882,-0.9800301,0.016755633,-2.1413112,1.0641196,-0.9466264,0.29149488,1.3813585,0.50181377,-2.8265257,-0.748327,-0.4298471,0.11326273,1.8432455,-0.2897976,0.8367052,-0.6423134,0.66519594,-0.4674361,0.056941256,-1.0337107,0.42438194,0.3291498,0.62583566,0.84652716,-0.28129637,1.1766052,-0.21562009,0.39022925,-0.7635704,-1.9941595,-0.97917396,0.46543804,-0.54967445,-0.16148481,-0.42724013,0.31179193,1.3969709,-0.5467469,-0.52380913,0.020104587,-0.4006038,-0.90356535,-0.69955367,0.44635898,-0.97005546,-1.6812577,-1.1438887,2.5152214,-0.09290179,-1.0005631,0.35896173,-0.54460573,-0.64934826,2.3323069,-1.8119602,-0.94120705,0.6639193,-0.8840366,0.4298833,1.1749609,-0.015091782,-0.31698707,0.64010453,0.13592802,0.9321546,0.93695444,0.56543434
